,type,element_id,text,coordinates_points,coordinates_system,coordinates_layout_width,coordinates_layout_height,last_modified,filetype,languages,page_number,file_directory,filename,detection_class_prob,parent_id,image_path,next_block,makes_sense,block_type,description,table_text,image_description
107,NarrativeText,9dd5106d2251efcc339c09ff897a69a4,"Retrieve-and-Edit approaches Our method shares some similarities with retrieve-and-edit style approaches, where a similar training input-output pair is retrieved for a given input, and then edited to provide a ﬁnal output. These approaches have proved successful in a number of domains including Machine Translation [18, 22] and Semantic Parsing [21]. Our approach does have several differences, including less of emphasis on lightly editing a retrieved item, but on aggregating content from several pieces of retrieved content, as well as learning latent retrieval, and retrieving evidence documents rather than related training pairs. This said, RAG techniques may work well in these settings, and could represent promising future work.","((300.0, 1095.3655094444443), (300.0, 1335.3525599999998), (1409.8197021484375, 1335.3525599999998), (1409.8197021484375, 1095.3655094444443))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],9,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9517348408699036,,,6 Discussion,True,NarrativeText,"This paragraph discusses the similarities and differences between the authors' method and existing retrieve-and-edit approaches in natural language processing, specifically in machine translation and semantic parsing.",,
108,Title,7143db81765b278e3b8719b6380cf860,6 Discussion,"((296.7771301269531, 1381.978991111111), (296.7771301269531, 1415.18788), (504.4747009277344, 1415.18788), (504.4747009277344, 1381.978991111111))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],9,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.8900858759880066,,,"In this work, we presented hybrid generation models with access to parametric and non-parametric memory. We showed that our RAG models obtain state of the art results on open-domain QA. We found that people prefer RAG’s generation over purely parametric BART, ﬁnding RAG more factual and speciﬁc. We conducted an thorough investigation of the learned retrieval component, validating its effectiveness, and we illustrated how the retrieval index can be hot-swapped to update the model without requiring any retraining. In future work, it may be fruitful to investigate if the two components can be jointly pre-trained from scratch, either with a denoising objective similar to BART or some another objective. Our work opens up new research directions on how parametric and non-parametric memories interact and how to most effectively combine them, showing promise in being applied to a wide variety of NLP tasks.",True,Title,A section header indicating the beginning of the discussion part of the document.,,
109,NarrativeText,695e700de4af533badc3c445fbd508a8,"In this work, we presented hybrid generation models with access to parametric and non-parametric memory. We showed that our RAG models obtain state of the art results on open-domain QA. We found that people prefer RAG’s generation over purely parametric BART, ﬁnding RAG more factual and speciﬁc. We conducted an thorough investigation of the learned retrieval component, validating its effectiveness, and we illustrated how the retrieval index can be hot-swapped to update the model without requiring any retraining. In future work, it may be fruitful to investigate if the two components can be jointly pre-trained from scratch, either with a denoising objective similar to BART or some another objective. Our work opens up new research directions on how parametric and non-parametric memories interact and how to most effectively combine them, showing promise in being applied to a wide variety of NLP tasks.","((299.0027777777778, 1450.7536711111109), (299.0027777777778, 1751.155337777778), (1407.99365234375, 1751.155337777778), (1407.99365234375, 1450.7536711111109))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],9,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9517229795455932,7143db81765b278e3b8719b6380cf860,,9,True,NarrativeText,"This text block summarizes the research and findings of using Retrieval-Augmented Generation (RAG) models for open-domain question answering, highlighting its effectiveness and future research directions.",,
110,UncategorizedText,58397819a201093f807f4658bde1d678,9,"((843.0805555555555, 2061.325893333333), (843.0805555555555, 2088.999782222222), (856.9174999999999, 2088.999782222222), (856.9174999999999, 2061.325893333333))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],9,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,,7143db81765b278e3b8719b6380cf860,,Broader Impact,False,UncategorizedText,"The text block only contains the number '9', lacking any context or meaning.",,
111,Title,38950c55b426fe24a0238a827ea5f7de,Broader Impact,"((299.4444274902344, 201.40676888888876), (299.4444274902344, 234.61565777777764), (530.3853759765625, 234.61565777777764), (530.3853759765625, 201.40676888888876))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],10,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9084576368331908,,,"This work offers several positive societal beneﬁts over previous work: the fact that it is more strongly grounded in real factual knowledge (in this case Wikipedia) makes it “hallucinate” less with generations that are more factual, and offers more control and interpretability. RAG could be employed in a wide variety of scenarios with direct beneﬁt to society, for example by endowing it with a medical index and asking it open-domain questions on that topic, or by helping people be more effective at their jobs.",True,Title,The text represents a section title likely followed by content related to the broader impact of the discussed work.,,
112,NarrativeText,ddcb777ad390262805d87a7baffa3fe9,"This work offers several positive societal beneﬁts over previous work: the fact that it is more strongly grounded in real factual knowledge (in this case Wikipedia) makes it “hallucinate” less with generations that are more factual, and offers more control and interpretability. RAG could be employed in a wide variety of scenarios with direct beneﬁt to society, for example by endowing it with a medical index and asking it open-domain questions on that topic, or by helping people be more effective at their jobs.","((299.0027777777778, 270.4064488888889), (299.0027777777778, 449.59700444444445), (1409.6839599609375, 449.59700444444445), (1409.6839599609375, 270.4064488888889))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],10,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9453707933425904,38950c55b426fe24a0238a827ea5f7de,,"With these advantages also come potential downsides: Wikipedia, or any potential external knowledge source, will probably never be entirely factual and completely devoid of bias. Since RAG can be employed as a language model, similar concerns as for GPT-2 [50] are valid here, although arguably to a lesser extent, including that it might be used to generate abuse, faked or misleading content in the news or on social media; to impersonate others; or to automate the production of spam/phishing content [54]. Advanced language models may also lead to the automation of various jobs in the coming decades [16]. In order to mitigate these risks, AI systems could be employed to ﬁght against misleading content and automated spam/phishing.",True,NarrativeText,"This paragraph discusses the societal benefits of the RAG model, such as reduced hallucination and improved factuality due to its grounding in real-world knowledge. It also suggests potential applications in various fields like medicine and job support.",,
113,NarrativeText,2ed3efe05f45c1693d42b1f52ba2a22e,"With these advantages also come potential downsides: Wikipedia, or any potential external knowledge source, will probably never be entirely factual and completely devoid of bias. Since RAG can be employed as a language model, similar concerns as for GPT-2 [50] are valid here, although arguably to a lesser extent, including that it might be used to generate abuse, faked or misleading content in the news or on social media; to impersonate others; or to automate the production of spam/phishing content [54]. Advanced language models may also lead to the automation of various jobs in the coming decades [16]. In order to mitigate these risks, AI systems could be employed to ﬁght against misleading content and automated spam/phishing.","((298.7, 467.4453377777777), (298.7, 707.2414488888891), (1406.630859375, 707.2414488888891), (1406.630859375, 467.4453377777777))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],10,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9506091475486756,38950c55b426fe24a0238a827ea5f7de,,Acknowledgments,True,NarrativeText,"Discusses potential drawbacks of using external knowledge sources like Wikipedia in RAG, highlighting concerns such as factual accuracy, bias, and potential misuse for generating harmful content. It also touches upon the economic impact of advanced language models.",,
114,Title,996418f52e07b55d5db0c3442b1ce386,Acknowledgments,"((300.0, 754.24288), (300.0, 787.451768888889), (563.100341796875, 787.451768888889), (563.100341796875, 754.24288))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],10,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9118948578834534,,,"The authors would like to thank the reviewers for their thoughtful and constructive feedback on this paper, as well as HuggingFace for their help in open-sourcing code to run RAG models. The authors would also like to thank Kyunghyun Cho and Sewon Min for productive discussions and advice. EP thanks supports from the NSF Graduate Research Fellowship. PL is supported by the FAIR PhD program.",True,Title,This is a section title indicating the beginning of the acknowledgments part.,,
115,NarrativeText,fb4bfffbd33fdbf8ccd70dd49d82a103,"The authors would like to thank the reviewers for their thoughtful and constructive feedback on this paper, as well as HuggingFace for their help in open-sourcing code to run RAG models. The authors would also like to thank Kyunghyun Cho and Sewon Min for productive discussions and advice. EP thanks supports from the NSF Graduate Research Fellowship. PL is supported by the FAIR PhD program.","((297.1380310058594, 823.2425599999999), (297.1380310058594, 972.12756), (1411.6591796875, 972.12756), (1411.6591796875, 823.2425599999999))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],10,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.942962646484375,996418f52e07b55d5db0c3442b1ce386,,References,True,NarrativeText,"Expresses gratitude to reviewers, collaborators, and organizations for their contributions and support in the research.",,
116,Title,951982b33987f89d920603f4bca9502a,References,"((300.0, 1019.1289911111111), (300.0, 1052.33788), (457.0539245605469, 1052.33788), (457.0539245605469, 1019.1289911111111))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],10,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.8841150999069214,,,"[1] Payal Bajaj, Daniel Campos, Nick Craswell, Li Deng, Jianfeng Gao, Xiaodong Liu, Rangan Majumder, Andrew McNamara, Bhaskar Mitra, Tri Nguyen, Mir Rosenberg, Xia Song, Alina Stoica, Saurabh Tiwary, and Tong Wang. MS MARCO: A Human Generated MAchine Reading COmprehension Dataset. arXiv:1611.09268 [cs], November 2016. URL http: //arxiv.org/abs/1611.09268. arXiv: 1611.09268.",True,Bibliography,This block appears to be part of a bibliography or references section.,,
117,ListItem,0b9defbbdf6ec38cb23225bc0a81f68e,"[1] Payal Bajaj, Daniel Campos, Nick Craswell, Li Deng, Jianfeng Gao, Xiaodong Liu, Rangan Majumder, Andrew McNamara, Bhaskar Mitra, Tri Nguyen, Mir Rosenberg, Xia Song, Alina Stoica, Saurabh Tiwary, and Tong Wang. MS MARCO: A Human Generated MAchine Reading COmprehension Dataset. arXiv:1611.09268 [cs], November 2016. URL http: //arxiv.org/abs/1611.09268. arXiv: 1611.09268.","((301.74755859375, 1072.9092266666664), (301.74755859375, 1221.9630477777778), (1416.9937744140625, 1221.9630477777778), (1416.9937744140625, 1072.9092266666664))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],10,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9369854927062988,951982b33987f89d920603f4bca9502a,,"[2] Petr Baudiš and Jan Šediv`y. Modeling of the question answering task in the yodaqa system. In International Conference of the Cross-Language Evaluation Forum for European Languages, pages 222–228. Springer, 2015. URL https://link.springer.com/chapter/10.1007% 2F978-3-319-24027-5_20.",True,Bibliography,Bibliographic entry citing a research paper on the MS MARCO dataset for machine reading comprehension.,,
118,ListItem,ea80ce1c60febf832f71fac05d1e52a9,"[2] Petr Baudiš and Jan Šediv`y. Modeling of the question answering task in the yodaqa system. In International Conference of the Cross-Language Evaluation Forum for European Languages, pages 222–228. Springer, 2015. URL https://link.springer.com/chapter/10.1007% 2F978-3-319-24027-5_20.","((308.7306213378906, 1250.4758933333335), (308.7306213378906, 1369.4602699999998), (1415.131591796875, 1369.4602699999998), (1415.131591796875, 1250.4758933333335))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],10,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9417925477027892,951982b33987f89d920603f4bca9502a,,"[3] Jonathan Berant, Andrew Chou, Roy Frostig, and Percy Liang. Semantic Parsing on Freebase from Question-Answer Pairs. In Proceedings of the 2013 Conference on Empirical Methods in Natural Language Processing, pages 1533–1544, Seattle, Washington, USA, October 2013. Association for Computational Linguistics. URL http://www.aclweb.org/anthology/ D13-1160.",True,Bibliography,Bibliographic entry citing a paper by Petr Baudiš and Jan Šediv`y on modeling question answering tasks.,,
119,ListItem,dc755574d4dfc6612adb1b8e45fc66db,"[3] Jonathan Berant, Andrew Chou, Roy Frostig, and Percy Liang. Semantic Parsing on Freebase from Question-Answer Pairs. In Proceedings of the 2013 Conference on Empirical Methods in Natural Language Processing, pages 1533–1544, Seattle, Washington, USA, October 2013. Association for Computational Linguistics. URL http://www.aclweb.org/anthology/ D13-1160.","((303.06732177734375, 1394.728671111111), (303.06732177734375, 1543.7824922222221), (1414.0047607421875, 1543.7824922222221), (1414.0047607421875, 1394.728671111111))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],10,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9373054504394532,951982b33987f89d920603f4bca9502a,,"[4] Bin Bi, Chenliang Li, Chen Wu, Ming Yan, and Wei Wang. Palm: Pre-training an autoencod- ing&autoregressive language model for context-conditioned generation. ArXiv, abs/2004.07159, 2020. URL https://arxiv.org/abs/2004.07159.",True,Bibliography,Bibliographic entry citing a research paper on semantic parsing.,,
120,ListItem,755812a8913697c090d6e002bbd37a58,"[4] Bin Bi, Chenliang Li, Chen Wu, Ming Yan, and Wei Wang. Palm: Pre-training an autoencod- ing&autoregressive language model for context-conditioned generation. ArXiv, abs/2004.07159, 2020. URL https://arxiv.org/abs/2004.07159.","((305.01519775390625, 1569.0536711111108), (305.01519775390625, 1657.4991588888886), (1416.242431640625, 1657.4991588888886), (1416.242431640625, 1569.0536711111108))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],10,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9417458176612854,951982b33987f89d920603f4bca9502a,,"[5] Danqi Chen, Adam Fisch, Jason Weston, and Antoine Bordes. Reading Wikipedia to Answer Open-Domain Questions. In Proceedings of the 55th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pages 1870–1879, Vancouver, Canada, July 2017. Association for Computational Linguistics. doi: 10.18653/v1/P17-1171. URL https://www.aclweb.org/anthology/P17-1171.",True,Bibliography,Bibliographic entry citing a research paper about pre-training a language model for context-conditioned generation.,,
121,ListItem,c0295956538df42de59886295656c1f9,"[5] Danqi Chen, Adam Fisch, Jason Weston, and Antoine Bordes. Reading Wikipedia to Answer Open-Domain Questions. In Proceedings of the 55th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pages 1870–1879, Vancouver, Canada, July 2017. Association for Computational Linguistics. doi: 10.18653/v1/P17-1171. URL https://www.aclweb.org/anthology/P17-1171.","((305.27001953125, 1682.7703377777777), (305.27001953125, 1831.8213811111111), (1416.7315673828125, 1831.8213811111111), (1416.7315673828125, 1682.7703377777777))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],10,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.933512568473816,951982b33987f89d920603f4bca9502a,,"[6] Eunsol Choi, Daniel Hewlett, Jakob Uszkoreit, Illia Polosukhin, Alexandre Lacoste, and Jonathan Berant. Coarse-to-ﬁne question answering for long documents. In Proceedings of the 55th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pages 209–220, Vancouver, Canada, July 2017. Association for Computational Linguistics. doi: 10.18653/v1/P17-1020. URL https://www.aclweb.org/anthology/P17-1020.",True,Bibliography,Bibliographic entry citing a research paper about open-domain question answering.,,
122,ListItem,88f7eb4260a9a61e65a8d2b369f1f816,"[6] Eunsol Choi, Daniel Hewlett, Jakob Uszkoreit, Illia Polosukhin, Alexandre Lacoste, and Jonathan Berant. Coarse-to-ﬁne question answering for long documents. In Proceedings of the 55th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pages 209–220, Vancouver, Canada, July 2017. Association for Computational Linguistics. doi: 10.18653/v1/P17-1020. URL https://www.aclweb.org/anthology/P17-1020.","((306.9996032714844, 1857.09256), (306.9996032714844, 2006.1436033333332), (1416.7484130859375, 2006.1436033333332), (1416.7484130859375, 1857.09256))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],10,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9339715242385864,951982b33987f89d920603f4bca9502a,,10,True,Bibliography,Bibliographic entry referencing a research paper about question answering in long documents.,,
123,Footer,f3fee13aa01f01e091e1959b4bf12f07,10,"((836.1638888888889, 2061.325893333333), (836.1638888888889, 2088.999782222222), (865.3172607421875, 2088.999782222222), (865.3172607421875, 2061.325893333333))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],10,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.7860987782478333,,,"[7] Christopher Clark and Matt Gardner. Simple and Effective Multi-Paragraph Reading Compre- hension. arXiv:1710.10723 [cs], October 2017. URL http://arxiv.org/abs/1710.10723. arXiv: 1710.10723.",False,UncategorizedText,"The text block only contains the number '10', lacking any context or meaning.",,
124,ListItem,425770fcc9dc87bef1523bd6112d8243,"[7] Christopher Clark and Matt Gardner. Simple and Effective Multi-Paragraph Reading Compre- hension. arXiv:1710.10723 [cs], October 2017. URL http://arxiv.org/abs/1710.10723. arXiv: 1710.10723.","((307.6064453125, 205.97867111111094), (307.6064453125, 294.2581155555555), (1414.817626953125, 294.2581155555555), (1414.817626953125, 205.97867111111094))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],11,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9371670484542848,,,"[8] Jacob Devlin, Ming-Wei Chang, Kenton Lee, and Kristina Toutanova. BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding. In Proceedings of the 2019 Con- ference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 1 (Long and Short Papers), pages 4171–4186, Minneapolis, Minnesota, June 2019. Association for Computational Linguistics. doi: 10.18653/v1/N19-1423. URL https://www.aclweb.org/anthology/N19-1423.",True,Bibliography,Bibliographic entry referencing a paper on multi-paragraph reading comprehension.,,
125,ListItem,c43d18bf273915bc9ff6a0335049650a,"[8] Jacob Devlin, Ming-Wei Chang, Kenton Lee, and Kristina Toutanova. BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding. In Proceedings of the 2019 Con- ference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 1 (Long and Short Papers), pages 4171–4186, Minneapolis, Minnesota, June 2019. Association for Computational Linguistics. doi: 10.18653/v1/N19-1423. URL https://www.aclweb.org/anthology/N19-1423.","((311.015869140625, 320.8425599999998), (311.015869140625, 500.1991588888889), (1408.14013671875, 500.1991588888889), (1408.14013671875, 320.8425599999998))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],11,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9519174695014954,,,"[9] Emily Dinan, Stephen Roller, Kurt Shuster, Angela Fan, Michael Auli, and Jason Weston. Wiz- ard of wikipedia: Knowledge-powered conversational agents. In International Conference on Learning Representations, 2019. URL https://openreview.net/forum?id=r1l73iRqKm.",True,Bibliography,Bibliographic entry referencing a research paper about BERT.,,
126,ListItem,d56539fe76bd08654502f5c48aa71883,"[9] Emily Dinan, Stephen Roller, Kurt Shuster, Angela Fan, Michael Auli, and Jason Weston. Wiz- ard of wikipedia: Knowledge-powered conversational agents. In International Conference on Learning Representations, 2019. URL https://openreview.net/forum?id=r1l73iRqKm.","((308.9830017089844, 526.61756), (308.9830017089844, 615.0630477777778), (1414.0797119140625, 615.0630477777778), (1414.0797119140625, 526.61756))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],11,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9375039339065552,,,"[10] Matthew Dunn, Levent Sagun, Mike Higgins, V. Ugur Guney, Volkan Cirik, and Kyunghyun Cho. SearchQA: A New Q&A Dataset Augmented with Context from a Search Engine. arXiv:1704.05179 [cs], April 2017. URL http://arxiv.org/abs/1704.05179. arXiv: 1704.05179.",True,Bibliography,"Citation for the paper 'Wizard of Wikipedia: Knowledge-powered conversational agents' by Dinan et al., presented at ICLR 2019.",,
127,ListItem,a91af638a7e7086c3f8de580296416d8,"[10] Matthew Dunn, Levent Sagun, Mike Higgins, V. Ugur Guney, Volkan Cirik, and Kyunghyun Cho. SearchQA: A New Q&A Dataset Augmented with Context from a Search Engine. arXiv:1704.05179 [cs], April 2017. URL http://arxiv.org/abs/1704.05179. arXiv: 1704.05179.","((297.7619323730469, 641.4842266666666), (297.7619323730469, 760.0664488888889), (1414.9630126953125, 760.0664488888889), (1414.9630126953125, 641.4842266666666))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],11,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9415358304977416,,,"[11] Angela Fan, Mike Lewis, and Yann Dauphin. Hierarchical neural story generation. In Proceed- ings of the 56th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pages 889–898, Melbourne, Australia, July 2018. Association for Computational Linguistics. doi: 10.18653/v1/P18-1082. URL https://www.aclweb.org/anthology/ P18-1082.",True,Bibliography,Bibliographic entry citing a research paper about a question answering dataset.,,
128,ListItem,b9ce1fdcc4b5c4a1a1b2016f7f0c02e5,"[11] Angela Fan, Mike Lewis, and Yann Dauphin. Hierarchical neural story generation. In Proceed- ings of the 56th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pages 889–898, Melbourne, Australia, July 2018. Association for Computational Linguistics. doi: 10.18653/v1/P18-1082. URL https://www.aclweb.org/anthology/ P18-1082.","((297.69525146484375, 786.0143938888888), (297.69525146484375, 935.7047144444444), (1416.7442626953125, 935.7047144444444), (1416.7442626953125, 786.0143938888888))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],11,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.934091567993164,,,"[12] Angela Fan, Yacine Jernite, Ethan Perez, David Grangier, Jason Weston, and Michael Auli. ELI5: Long form question answering. In Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics, pages 3558–3567, Florence, Italy, July 2019. Association for Computational Linguistics. doi: 10.18653/v1/P19-1346. URL https://www.aclweb.org/ anthology/P19-1346.",True,Bibliography,Bibliographic entry citing a research paper about hierarchical neural story generation.,,
129,ListItem,bae1b5c8fe9217e729f82a0b1bac9563,"[12] Angela Fan, Yacine Jernite, Ethan Perez, David Grangier, Jason Weston, and Michael Auli. ELI5: Long form question answering. In Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics, pages 3558–3567, Florence, Italy, July 2019. Association for Computational Linguistics. doi: 10.18653/v1/P19-1346. URL https://www.aclweb.org/ anthology/P19-1346.","((299.51190185546875, 962.1231155555556), (299.51190185546875, 1111.1769366666667), (1416.8175048828125, 1111.1769366666667), (1416.8175048828125, 962.1231155555556))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],11,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9335768818855286,,,"[13] Angela Fan, Claire Gardent, Chloe Braud, and Antoine Bordes. Augmenting transformers with KNN-based composite memory, 2020. URL https://openreview.net/forum?id= H1gx1CNKPH.",True,Bibliography,Bibliographic entry citing a research paper about long-form question answering.,,
130,ListItem,37bd601c2d2934eef58f49d5d22f3041,"[13] Angela Fan, Claire Gardent, Chloe Braud, and Antoine Bordes. Augmenting transformers with KNN-based composite memory, 2020. URL https://openreview.net/forum?id= H1gx1CNKPH.","((300.00000000000006, 1137.5953377777778), (300.00000000000006, 1226.0408255555556), (1415.3114013671875, 1226.0408255555556), (1415.3114013671875, 1137.5953377777778))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],11,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9422006607055664,,,"[14] Thibault Févry, Livio Baldini Soares, Nicholas FitzGerald, Eunsol Choi, and Tom Kwiatkowski. Entities as experts: Sparse memory access with entity supervision. ArXiv, abs/2004.07202, 2020. URL https://arxiv.org/abs/2004.07202.",True,Bibliography,Bibliographic entry citing a research paper on augmenting transformers with KNN-based composite memory.,,
131,ListItem,28989f5ccb379d69290904c8de007caf,"[14] Thibault Févry, Livio Baldini Soares, Nicholas FitzGerald, Eunsol Choi, and Tom Kwiatkowski. Entities as experts: Sparse memory access with entity supervision. ArXiv, abs/2004.07202, 2020. URL https://arxiv.org/abs/2004.07202.","((300.0, 1252.4620044444443), (300.0, 1340.9074922222221), (1418.5889892578125, 1340.9074922222221), (1418.5889892578125, 1252.4620044444443))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],11,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9386879801750184,,,"[15] Marjan Ghazvininejad, Chris Brockett, Ming-Wei Chang, Bill Dolan, Jianfeng Gao, Wen tau Yih, and Michel Galley. A knowledge-grounded neural conversation model. In AAAI Conference on Artiﬁcial Intelligence, 2018. URL https://www.aaai.org/ocs/index.php/ AAAI/AAAI18/paper/view/16710.",True,Bibliography,Bibliographic entry citing a research paper about entities as experts in sparse memory access.,,
132,ListItem,0dd6526cb09fbeb9f413fd977957bc0b,"[15] Marjan Ghazvininejad, Chris Brockett, Ming-Wei Chang, Bill Dolan, Jianfeng Gao, Wen tau Yih, and Michel Galley. A knowledge-grounded neural conversation model. In AAAI Conference on Artiﬁcial Intelligence, 2018. URL https://www.aaai.org/ocs/index.php/ AAAI/AAAI18/paper/view/16710.","((299.5888977050781, 1367.3258933333332), (299.5888977050781, 1486.0741588888889), (1414.836669921875, 1486.0741588888889), (1414.836669921875, 1367.3258933333332))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],11,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9421278834342957,,,"[16] Katja Grace, John Salvatier, Allan Dafoe, Baobao Zhang, and Owain Evans. When will AI exceed human performance? evidence from AI experts. CoRR, abs/1705.08807, 2017. URL http://arxiv.org/abs/1705.08807.",True,Bibliography,Bibliographic entry citing a research paper about a knowledge-grounded neural conversation model.,,
133,ListItem,e391b8a6882fdb68f83bef5c3bc299bd,"[16] Katja Grace, John Salvatier, Allan Dafoe, Baobao Zhang, and Owain Evans. When will AI exceed human performance? evidence from AI experts. CoRR, abs/1705.08807, 2017. URL http://arxiv.org/abs/1705.08807.","((298.5525817871094, 1512.4953377777776), (298.5525817871094, 1600.9408255555556), (1417.054443359375, 1600.9408255555556), (1417.054443359375, 1512.4953377777776))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],11,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9402990341186525,,,"[17] Jiatao Gu, Yong Wang, Kyunghyun Cho, and Victor O.K. Li. Search engine guided neural In AAAI Conference on Artiﬁcial Intelligence, 2018. URL https: machine translation. //www.aaai.org/ocs/index.php/AAAI/AAAI18/paper/view/17282.",True,Bibliography,Bibliographic entry citing a research paper about AI exceeding human performance.,,
